https://www.redfin.com/OR/Aloha/907-SW-Draper-Ter-97003/home/170145555
Primary Bedroom Information,floor area,182,3.6,655.2
Primary Bedroom Information,wall area,1456,0.045,65.52
Bedroom #2 Information,floor area,156,3.6,561.6
Bedroom #2 Information,wall area,1248,0.045,56.16
Bedroom #2 Information,trim length,50,0.78,39.0
Bedroom #3 Information,floor area,140,3.6,504.0
Bedroom #3 Information,wall area,1120,0.045,50.4
Bedroom #3 Information,trim length,48,0.78,37.44
Kitchen Information,floor area,99,3.6,356.40000000000003
Kitchen Information,wall area,792,0.045,35.64
Kitchen Information,trim length,40,0.78,31.200000000000003
Dining Room Information,floor area,77,3.6,277.2
Dining Room Information,wall area,616,0.045,27.72
Dining Room Information,trim length,36,0.78,28.080000000000002
Living Room Information,floor area,204,3.6,734.4
Living Room Information,wall area,1632,0.045,73.44
Living Room Information,trim length,58,0.78,45.24
Other Room #1 Information,floor area,42,3.6,151.20000000000002
Other Room #1 Information,wall area,336,0.045,15.12
Other Room #1 Information,trim length,26,0.78,20.28
Other Room #2 Information,floor area,55,3.6,198.0
Other Room #2 Information,wall area,440,0.045,19.8
Other Room #2 Information,trim length,32,0.78,24.96
